guidance_title,source_pdf
Email Concerning Emergency Rental Assistance Programs,https://www.justice.gov/ust/media/1354341/dl
Do I need a license to buy or sell firearms? (ATF P 5310.2),https://www.atf.gov/firearms/docs/undefined/atfpublication53102pdf/download
Email Concerning Length of Typical Credit Counseling Sessions,https://www.justice.gov/ust/media/1350601/dl?inline=
Notification for Previously Exempted Special Explosives Devices,https://www.atf.gov/explosives/docs/open-letter/all-fels-nov-2023-notification-previously-exempted-special-explosive/download
Questions and Answers on the Application of the ADA's Integration Mandate and Olmstead v. L.C. to Employment and Day Services for People with Disabilities,https://www.ada.gov/resources/olmstead-employment-qa/
ATF Ruling 2023-1: Use of Electronic Explosives Records,https://www.atf.gov/explosives/docs/ruling/2023-1-electronic-explosives-records-ruling/download
DEA-Practitioner Training or Continuing Education Requirement for Registration (EO-DEA182R1),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-076)(EO-DEA182R1)_Training_Requirements_Final.pdf
Required Training with Respect to Opioid Use Disorder (OUD) for DEA-Registered Practitioners (EO-DEA268),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-075)(EO-DEA268)_Attestatio_of_Training_QA_(Final).pdf
Reporting Regulated Transactions Involving Listed Chemicals (EO-DEA280),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-074)(EO-DEA280)_Dear_Registrant_Letter_Reporting_Regulated_Transactions.pdf
Open Letter to All North Carolina FFLs - Brady Handgun Violence Protection Act (Brady Act),https://www.atf.gov/firearms/docs/open-letter/all-nc-ffls-open-letter-aug-2023-brady-handgun-violence-protection-act/download
Revision of Three Previously Posted Q&As relating to Electronic Prescriptions for Controlled Substances (EPCS)(EO-DEA022R1),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-09R1)(EO-DEA022R1)_Questions_and_Answers_for_Prescribing_Practitioners_(EPCS)_7-24-2023.pdf
Open Letter to All FFLs - Licensees Providing Firearms Storage for Individuals,https://www.atf.gov/firearms/docs/open-letter/all-ffls-july-2023-open-letter-safe-storage/download
Pharmacist Manual (EO-DEA226),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-071)(EO-DEA226)_Practitioner's_Manual_(final).pdf
Disposing of Abandoned Patient or Visitor Controlled Substance Prescription Medications (EO-DEA238),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-073)(EO-DEA238)_Disposal_Guidance_(Final).pdf
Explosives Industry Newsletter - June 2023,https://www.atf.gov/explosives/docs/newsletter/explosives-industry-newsletter-june-2023/download
COVID-19 Flexibility Updates (EO-DEA277),https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-072)(EO-DEA277)_Dear_Registrant_Letter_PHE_Exceptions_Ending_and_Continuing_HHS_Comments_-_Fina2.pdf#search=eo-dea277
"Requirement to Use Multiple Single-Sheet DEA Form 222s (Order Forms) When Transferring Schedule I or II Controlled Substances Upon Termination or Transfer of a DEA Registration, or Discontinuing Business Altogether (EO-DEA117)",https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-070)(EO-DEA117)_Multiple_Single_Sheet_222s_When_Transfering.pdf
Use of Existing DEA-Form 222s (U.S. Official Order Forms – Schedules I & II) after Removal of X-Waiver,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-069)(EO-DEA265)_Existing_DEA_222_Use_QA.pdf
Disposal of Controlled Substances ,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-068)(EO-DEA255)_DEA_Registrant_Guidance_Letter_-_Disposal.pdf
Updated DEA Registration Certificate after Removal of X-Waiver ,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-067)(EO-DEA260)_Updated_Registration_Certificate_(Final).pdf
"Public Safety Advisory to All FFLs, and Firearm Parts, Components, and Accessories Manufacturers and Distributors",https://www.atf.gov/firearms/docs/guide/public-safety-advisory-all-federal-firearms-licensees-and-firearm-parts/download
Elimination of Patient Limits for Prescribing Buprenorphine for Treatment of Opioid Use Disorder (OUD) under the Consolidated Appropriations Act (CAA) of 2023,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-066)(EO-DEA263)_OUD_Patient_Limits_QA_(Final).pdf
Open Letter to All Vermont FFLs - Changes to Vermont Law 13 V.S.A. § 4019,https://www.atf.gov/file/176936/download
Open Letter to All FFLs - Machinegun Dealer Sales Sample Letters,https://www.atf.gov/file/174551/download
Disaster Preparedness for Federal Explosives Licensees and Permittees (ATF P 5400.16),https://www.atf.gov/explosives/docs/guide/publication-voluntary-steps-prepare-pending-natural-disaster-atf-p-540016/download
ATF Ruling 2022-02: Storage of Explosives in Remote Avalanche Control Systems,https://www.atf.gov/explosives/docs/ruling/2022-2-remote-avalanche-control-devices/download
Email Concerning Application Forms,https://www.justice.gov/ust/file/1560151/download
Credit Counseling Instructions,https://www.justice.gov/ust/media/1070906/dl?inline=
Credit Counseling Application,https://www.justice.gov/ust/media/1350601/dl?inline=
Appendix A to Credit Counseling Application,https://www.justice.gov/ust/media/1070886/dl?inline=
Debtor Education Instructions,https://www.justice.gov/ust/media/1070966/dl?inline=
Appendix A to Debtor Education Application,https://www.justice.gov/ust/media/1070946/dl?inline=
"Open Letter to All FFLs - Dec 2022 - Impact of Final Rule 2021-05F on Partially Complete Polymer80, Lone Wolf, and Similar Semiautomatic Pistol Frames",https://www.atf.gov/rules-and-regulations/docs/open-letter/all-ffls-dec2022-open-letter-impact-final-rule-2021-05f/download
DOJ and Partner Agencies Issue Guidance on Employment Protections for Servicemembers and Veterans,https://www.justice.gov/d9/2022-11/interagency_veterans_resource_0.pdf
Electronic Storage of Forms 4473 Ruling,https://www.atf.gov/firearms/docs/ruling/2022-01-electronic-storage-forms-4473pdf/download
Changes Pharmacists May Make to Schedule II Paper Prescriptions,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-063)(EO-DEA257)_Changes_to_a_Prescription_Guidance_-_Final.pdf
Letter Concerning Debtor Education Certificates,/ust/media/1260566/dl?inline=
Know Your Voting Rights; Guide to Federal Voting Rights Laws (Spanish),https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/10/04/know_your_voting_rights_spanish.pdf
Open Letter to All FFLs - Impact of Final Rule 2021-05F on Partially Complete AR-15/M-16 Type Receivers,https://www.atf.gov/firearms/docs/open-letter/all-ffls-september-2022-impact-final-rule-2021-05f-partially-complete-ar/download
"DEA-Registered Authorized Collector Reporting of Theft, Loss, or Missing Sealed Inner Liners that Occurs While in a Common or Contract Carrier’s Custody",https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-059)(EO-DEA122B)_DEA_Registered_Collectors_Reporting_Theft_or_Loss_(Final).pdf
"Reporting Theft, Loss, or Missing Sealed Inner Liners from a Law Enforcement Agency",https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-060)(EO-DEA122C)_Report_theft_loss_sealed_liner_federal_LE_(Final).pdf
Transportation of Sealed Inner Liners from or by DEA-Registered Authorized Collectors,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-061)(EO-DEA122D)_Transportation_of_sealed_liners_(Final).pdf
Date of Receipt of Sealed Inner Liners by Reverse Distributors,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-062)(EO-DEA122E)_Receipt_of_sealed_inner_liner_(Final).pdf
"Guidance on Nondiscrimination in Telehealth: Federal Protections Against Disability, Race, Color, or National Origin Discrimination",https://www.ada.gov/telehealth_guidance.pdf
Joint DOJ-CFPB letter to Auto Finance Companies about Servicemember Rights,https://www.justice.gov/opa/pr/justice-department-and-consumer-financial-protection-bureau-underscore-legal-obligations-auto
Know Your Voting Rights; Guide to Federal Voting Rights Laws,https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/07/07/know_your_voting_rights.pdf
Gun Show Guidance,https://www.atf.gov/file/56651/download
Researchers Manual,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-057)(EO-DEA217)_Researchers_Manual_Final_signed.pdf
Narcotic Treatment Program Manual,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-056)(EO-DEA169)_NTP_manual_Final.pdf
Chemical Broker Dear Registrant Letter,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-055)(EO-DEA-236)_2022-06-08_Dear_Registrant_Letter_(Final).pdf
Guide to State Voting Rules That Apply After a Criminal Conviction,https://www.justice.gov/d9/fieldable-panel-panes/basic-panes/attachments/2022/05/19/voting_with_a_criminal_conviction.pdf
"Algorithms, Artificial Intelligence, and Disability Discrimination in Hiring",https://beta.ada.gov/assets/_pdfs/ai-guidance.pdf
The Americans with Disabilities Act and the Opioid Crisis: Combating Discrimination Against People in Treatment or Recovery,https://www.ada.gov/opioid_guidance.pdf
Open Letter to All Federal Firearms Licensees - Forced Reset Triggers (FRTs),https://www.atf.gov/firearms/docs/open-letter/all-ffls-mar-2022-open-letter-forced-reset-triggers-frts/download
Guidance on Web Accessibility and the ADA,https://beta.ada.gov/assets/_pdfs/web-guidance.pdf
DEA Chemical Handler's Manual,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-054)(EO-DEA168)_Chemical_Handler's_Manual_Final_(OMB_Approved).pdf
Interagency Statement on Special Purpose Credit Programs Under the Equal Credit Opportunity Act and Regulation B,https://www.fdic.gov/news/financial-institution-letters/2022/fil22008a.pdf
"Ballot Drop Box Accessibility, the Americans with Disabilities Act",https://archive.ada.gov/ada_voting/ballot_box_access.pdf
Report on Lawful Uses of Race and Sex in Federal Contracting Programs,https://www.justice.gov/crt/page/file/1463921/download
Joint DOJ-CFPB Letter to Landlords and Mortgage Lenders about Servicemember Rights,https://www.justice.gov/opa/pr/justice-department-and-cfpb-put-landlords-and-mortgage-servicers-notice-about-servicemembers
Open Letter to All Federal Explosives Licensees and Permittees - e-Nicotine Delivery Systems ,https://www.atf.gov/explosives/docs/open-letter/all-fels-oct2021-open-letter-e-nicotine-delivery-systems/download
Supporting Students at Risk of Self-Harm in the Era of COVID-19,https://www.ada.gov/students_self-harm_fact_sheet.pdf
Explosives Industry Newsletter - October 2021,https://www.atf.gov/explosives/docs/newsletter/explosives-industry-newsletter-october-2021/download
Explosives Industry Newsletter - October 2021,https://www.atf.gov/explosives/docs/newsletter/explosives-industry-newsletter-october-2021/download
Remote Quality of Service Review of Credit Counseling Agencies,https://www.justice.gov/ust/page/file/1437051/download
Antitrust Guidance—Hurricane Ida,https://www.justice.gov/opa/press-release/file/1432586/download
"Guidance Under Section 2 of the Voting Rights Act, 52 U.S.C. 10301, for Redistricting and Methods of Electing Government Bodies",https://www.justice.gov/d9/case-documents/attachments/2021/09/01/guidance-redistricting-9-1-21-edited_508_002.pdf
Confronting Discrimination Based on National Origin and Immigration Status,https://www.justice.gov/crt/page/file/1425321/download
Guidance Concerning Federal Statutes Affecting Methods of Voting,https://www.justice.gov/d9/press-releases/attachments/2021/07/28/edited_voting_methods_guide_508_0.pdf
Federal Law Constraints on Post-Election Audits,https://www.justice.gov/d9/press-releases/attachments/2021/07/28/edited_audit_guidance_508_0.pdf
Open Letter for the state of Missouri,https://www.atf.gov/firearms/docs/open-letter/missouri-open-letter-all-ffls-house-bill-number-85-second-amendment/download
Open Letter to the state of Colorado,https://www.atf.gov/firearms/docs/open-letter/colorado-open-letter-hb1298pdf/download
Open Letter to the state of Texas - HB 957,https://www.atf.gov/firearms/docs/open-letter/texas-open-letter-hb-957/download
"Guidance on “Long COVID” as a Disability Under the ADA, Section 504, and Section 1557",https://www.ada.gov/long_covid_joint_guidance.pdf
NICS Act List of Approved Programs download,https://www.atf.gov/file/155981/download
Home as Registered Address,https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-052)(EO-DEA183)_Home_as_Registered_Location_(Revision_1).pdf
Disaster Preparedness for FFLs,https://www.atf.gov/file/58666/download
"Reporting Controlled Substance Breakage, Spillage, and/or Damage to DEA",https://www.deadiversion.usdoj.gov/GDP/(DEA-DC-051)(EO-DEA144)Spilled_Methadone_Guidance_Final.pdf
