publication_title,publication_date,source_pdf,source_url
"Arboviral diseases, La Crosse virus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232582/cdc_232582_DS1.pdf,https://stacks.cdc.gov/view/cdc/232582
"Arboviral diseases, Jamestown Canyon virus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232581/cdc_232581_DS1.pdf,https://stacks.cdc.gov/view/cdc/232581
"Anthrax: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232478/cdc_232478_DS1.pdf,https://stacks.cdc.gov/view/cdc/232478
"Arboviral diseases, Eastern equine encephalitis virus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232580/cdc_232580_DS1.pdf,https://stacks.cdc.gov/view/cdc/232580
"Arboviral diseases, Powassan virus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232583/cdc_232583_DS1.pdf,https://stacks.cdc.gov/view/cdc/232583
"Arboviral diseases, Chikungunya virus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232481/cdc_232481_DS1.pdf,https://stacks.cdc.gov/view/cdc/232481
"Tularemia: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232495/cdc_232495_DS1.pdf,https://stacks.cdc.gov/view/cdc/232495
"Tetanus: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232493/cdc_232493_DS1.pdf,https://stacks.cdc.gov/view/cdc/232493
"Trichinellosis: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232499/cdc_232499_DS1.pdf,https://stacks.cdc.gov/view/cdc/232499
"Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection): (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232589/cdc_232589_DS1.pdf,https://stacks.cdc.gov/view/cdc/232589
"Severe acute respiratory syndrome-associated coronavirus disease: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232521/cdc_232521_DS1.pdf,https://stacks.cdc.gov/view/cdc/232521
"Salmonella Paratyphi infection: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232590/cdc_232590_DS1.pdf,https://stacks.cdc.gov/view/cdc/232590
"Shigellosis: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232531/cdc_232531_DS1.pdf,https://stacks.cdc.gov/view/cdc/232531
"Zika virus disease, non-congenital: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232568/cdc_232568_DS1.pdf,https://stacks.cdc.gov/view/cdc/232568
"Shiga toxin-producing Escherichia coli (STEC): (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232538/cdc_232538_DS1.pdf,https://stacks.cdc.gov/view/cdc/232538
"Yellow fever: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232529/cdc_232529_DS1.pdf,https://stacks.cdc.gov/view/cdc/232529
"Streptococcal toxic shock syndrome: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232558/cdc_232558_DS1.pdf,https://stacks.cdc.gov/view/cdc/232558
"Smallpox: (Week 38) Weekly cases* of notifiable diseases, United States, U.S. Territories, and Non-U.S. Residents week ending September 20, 2025",09/20/2025,https://stacks.cdc.gov/view/cdc/232561/cdc_232561_DS1.pdf,https://stacks.cdc.gov/view/cdc/232561
