legislative_bill,source_url,sponsor,commitee,latest_action
H.R.5835,https://www.congress.gov/bill/119th-congress/house-bill/5835?s=3&r=1,"Wilson, Joe [Rep.-R-SC-2]",House - Foreign Affairs,House - 10/24/2025 Referred to the House Committee on Foreign Affairs. (
H.R.5834,https://www.congress.gov/bill/119th-congress/house-bill/5834?s=3&r=2,"Wilson, Frederica S. [Rep.-D-FL-24]",House - Transportation and Infrastructure,House - 10/24/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5833,https://www.congress.gov/bill/119th-congress/house-bill/5833?s=3&r=3,"Wilson, Frederica S. [Rep.-D-FL-24]",House - Transportation and Infrastructure,House - 10/24/2025 Referred to the House Committee on Transportation and Infrastructure. (
H.R.5832,https://www.congress.gov/bill/119th-congress/house-bill/5832?s=3&r=4,"Williams, Roger [Rep.-R-TX-25]",House - Energy and Commerce,House - 10/24/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5831,https://www.congress.gov/bill/119th-congress/house-bill/5831?s=3&r=5,"Wied, Tony [Rep.-R-WI-8]",House - Oversight and Government Reform,House - 10/24/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5830,https://www.congress.gov/bill/119th-congress/house-bill/5830?s=3&r=6,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",House - Ways and Means,House - 10/24/2025 Referred to the House Committee on Ways and Means. (
H.R.5829,https://www.congress.gov/bill/119th-congress/house-bill/5829?s=3&r=7,"Vindman, Eugene Simon [Rep.-D-VA-7]",House - Natural Resources,House - 10/24/2025 Referred to the House Committee on Natural Resources. (
H.R.5828,https://www.congress.gov/bill/119th-congress/house-bill/5828?s=3&r=8,"Vindman, Eugene Simon [Rep.-D-VA-7]",House - Energy and Commerce,House - 10/24/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5827,https://www.congress.gov/bill/119th-congress/house-bill/5827?s=3&r=9,"Suozzi, Thomas R. [Rep.-D-NY-3]","House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Transportation and Infrastructure; Science, Space, and Technology; Agriculture; Appropriations; Armed Services; Budget; Rules; Ethics; Financial Services; Foreign Affairs; Homeland Security; House Administration; Judiciary; Intelligence (Permanent Select); Oversight and Government Reform; Small Business; Veterans' Affairs","House - 10/24/2025 Referred to the Committee on Ways and Means, and in addition to the Committees on Energy and Commerce, Natural Resources, Education and Workforce, Transportation and Infrastructure, Science, Space, and Technology, Agriculture, Appropriations, Armed Services, the... ("
H.R.5826,https://www.congress.gov/bill/119th-congress/house-bill/5826?s=3&r=10,"Stevens, Haley M. [Rep.-D-MI-11]",House - Financial Services; Small Business,"House - 10/24/2025 Referred to the Committee on Financial Services, and in addition to the Committee on Small Business, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... ("
H.R.5825,https://www.congress.gov/bill/119th-congress/house-bill/5825?s=3&r=11,"Stansbury, Melanie A. [Rep.-D-NM-1]",House - Financial Services,House - 10/24/2025 Referred to the House Committee on Financial Services. (
H.R.5824,https://www.congress.gov/bill/119th-congress/house-bill/5824?s=3&r=12,"Stansbury, Melanie A. [Rep.-D-NM-1]",House - Financial Services,House - 10/24/2025 Referred to the House Committee on Financial Services. (
H.R.5823,https://www.congress.gov/bill/119th-congress/house-bill/5823?s=3&r=13,"Neguse, Joe [Rep.-D-CO-2]",House - Agriculture,House - 10/24/2025 Referred to the House Committee on Agriculture. (
H.R.5822,https://www.congress.gov/bill/119th-congress/house-bill/5822?s=3&r=14,"Miller-Meeks, Mariannette [Rep.-R-IA-1]",House - Appropriations,House - 10/24/2025 Referred to the House Committee on Appropriations. (
H.R.5821,https://www.congress.gov/bill/119th-congress/house-bill/5821?s=3&r=15,"LaMalfa, Doug [Rep.-R-CA-1]",House - Ways and Means,House - 10/24/2025 Referred to the House Committee on Ways and Means. (
H.R.5820,https://www.congress.gov/bill/119th-congress/house-bill/5820?s=3&r=16,"Kiley, Kevin [Rep.-R-CA-3]",House - Natural Resources,House - 10/24/2025 Referred to the House Committee on Natural Resources. (
H.R.5819,https://www.congress.gov/bill/119th-congress/house-bill/5819?s=3&r=17,"Kaptur, Marcy [Rep.-D-OH-9]",House - Judiciary,House - 10/24/2025 Referred to the House Committee on the Judiciary. (
H.R.5818,https://www.congress.gov/bill/119th-congress/house-bill/5818?s=3&r=18,"Hageman, Harriet M. [Rep.-R-WY-At Large]",House - Agriculture,House - 10/24/2025 Referred to the House Committee on Agriculture. (
H.R.5817,https://www.congress.gov/bill/119th-congress/house-bill/5817?s=3&r=19,"Fine, Randy [Rep.-R-FL-6]",House - House Administration,House - 10/24/2025 Referred to the House Committee on House Administration. (
H.R.5816,https://www.congress.gov/bill/119th-congress/house-bill/5816?s=3&r=20,"Crockett, Jasmine [Rep.-D-TX-30]",House - Education and Workforce,House - 10/24/2025 Referred to the House Committee on Education and Workforce. (
H.R.5815,https://www.congress.gov/bill/119th-congress/house-bill/5815?s=3&r=21,"Cloud, Michael [Rep.-R-TX-27]",House - Energy and Commerce,House - 10/24/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5814,https://www.congress.gov/bill/119th-congress/house-bill/5814?s=3&r=22,"Cloud, Michael [Rep.-R-TX-27]",House - Energy and Commerce,House - 10/24/2025 Referred to the House Committee on Energy and Commerce. (
H.R.5813,https://www.congress.gov/bill/119th-congress/house-bill/5813?s=3&r=23,"Cammack, Kat [Rep.-R-FL-3]",House - Energy and Commerce; Ways and Means; Education and Workforce,"House - 10/24/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ("
H.R.5812,https://www.congress.gov/bill/119th-congress/house-bill/5812?s=3&r=24,"Baumgartner, Michael [Rep.-R-WA-5]",House - Education and Workforce,House - 10/24/2025 Referred to the House Committee on Education and Workforce. (
H.R.5811,https://www.congress.gov/bill/119th-congress/house-bill/5811?s=3&r=25,"Massie, Thomas [Rep.-R-KY-4]",House - Judiciary,House - 10/24/2025 Referred to the House Committee on the Judiciary. (
H.R.5810,https://www.congress.gov/bill/119th-congress/house-bill/5810?s=3&r=26,"Timmons, William R. [Rep.-R-SC-4]",House - Oversight and Government Reform,House - 10/21/2025 Referred to the House Committee on Oversight and Government Reform. (
H.R.5809,https://www.congress.gov/bill/119th-congress/house-bill/5809?s=3&r=27,"Thanedar, Shri [Rep.-D-MI-13]",House - Ways and Means,House - 10/21/2025 Referred to the House Committee on Ways and Means. (
H.R.5808,https://www.congress.gov/bill/119th-congress/house-bill/5808?s=3&r=28,"Stutzman, Marlin A. [Rep.-R-IN-3]",House - Foreign Affairs; Judiciary,"House - 10/21/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. ("
H.R.5807,https://www.congress.gov/bill/119th-congress/house-bill/5807?s=3&r=29,"Smith, Adam [Rep.-D-WA-9]",House - Education and Workforce,House - 10/21/2025 Referred to the House Committee on Education and Workforce. (
H.R.5806,https://www.congress.gov/bill/119th-congress/house-bill/5806?s=3&r=30,"Smith, Adam [Rep.-D-WA-9]",House - Education and Workforce,House - 10/21/2025 Referred to the House Committee on Education and Workforce. (
H.R.5805,https://www.congress.gov/bill/119th-congress/house-bill/5805?s=3&r=31,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",House - Budget,House - 10/21/2025 Referred to the House Committee on the Budget. (
H.R.5804,https://www.congress.gov/bill/119th-congress/house-bill/5804?s=3&r=32,"Menendez, Robert [Rep.-D-NJ-8]",House - Agriculture,House - 10/21/2025 Referred to the House Committee on Agriculture. (
H.R.5803,https://www.congress.gov/bill/119th-congress/house-bill/5803?s=3&r=33,"Lawler, Michael [Rep.-R-NY-17]",House - Energy and Commerce,House - 10/21/2025 Referred to the House Committee on Energy and Commerce. (
