brand,category,currency,current_price,discount_percent,image_url,manufacturer,original_price,product_name,product_url,ratings,review_count,scraped_date,sold_by,sold_last_month,stock_availability
OnePlus,Electronics > Computers & Accessories > Computers & Tablets > Tablets,USD,499.99,,https://m.media-amazon.com/images/I/61xavUupweL._AC_SX466_.jpg,,,"OnePlus Pad 2, 12GB RAM, 256GB Storage, Snapdragon 8 Gen 3, 3K+ 144Hz Display, Wi-Fi Gray Nimbus",https://www.amazon.com/dp/B0DBVXDG7L, 4.8 ,37 ratings,2025-09-13 09:53:02,Swiftronics USA,,
Beats,,USD,None.None,,https://m.media-amazon.com/images/I/51ullEjK3TL._AC_SX522_.jpg,,,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Slate Blue",https://www.amazon.com/dp/B0CZPHPJLN?th=1, 4.6 ,"17,206 ratings",2025-09-13 09:54:02,,8K+ bought in past month,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.
Apple,,USD,None.None,,https://m.media-amazon.com/images/I/61SUj2aKoEL._AC_SX522_.jpg,,,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",https://www.amazon.com/dp/B0D1XD1ZV3, 4.6 ,"37,658 ratings",2025-09-13 09:54:02,,10K+ bought in past month,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.
BERTHALESS,Cell Phones & Accessories > Accessories > Chargers & Power Adapters > Automobile Chargers,USD,11.99,,https://m.media-amazon.com/images/I/61q11qwv5ML._AC_SX466_.jpg,"Henan Liangxi Network Technology Co., Ltd.",$23.99,"Retractable Car Charger, 4 in 1 Fast Charging Car Charger USB-C & USB-A Compatible with iPhone 16/15/14/13/12/11,Galaxy,Pixel",https://www.amazon.com/dp/B0DFLVGQX5?th=1, 4.4 ,606 ratings,2025-09-13 09:54:03,BERTHALESS,4K+ bought in past month,In Stock
ANDERY,Cell Phones & Accessories > Accessories > Automobile Accessories > Cradles,USD,26.99,-40%,https://m.media-amazon.com/images/I/712lUnThXpL._AC_SX522_.jpg,ＡＮＤＥＲＹ,$44.98,"Car Phone Holder for Magsafe [78+LBS Strongest Suction & 2400gf Magnetic] 360° Adjustable Car Phone Mount, Phone Holders for Your Car for iPhone 17 Pro Max 16 15 14 13 12 Air Plus (Carbon Fiber)",https://www.amazon.com/dp/B0DN1S1YLV, 4.5 ,"10,182 ratings",2025-09-13 09:54:31,ZenMount,10K+ bought in past month,In Stock
Bose,Electronics > Portable Audio & Video > Portable Speakers & Docks > Portable Bluetooth Speakers,USD,99.98,,https://m.media-amazon.com/images/I/7192Qca-fUL._AC_SX466_.jpg,Bose,$118.69,"Bose SoundLink Flex Portable Bluetooth Speaker (2nd Gen), Portable Outdoor Speaker with Hi-Fi Audio, Up to 12 Hours Battery Life, Waterproof and Dustproof, Black",https://www.amazon.com/dp/B0D6WD2QSQ?th=1, 4.7 ,"6,081 ratings",2025-09-13 09:55:52,,5K+ bought in past month,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.
Mifaso,Electronics > Accessories & Supplies > Power Strips & Surge Protectors > Power Strips,USD,9.99,-22%,https://m.media-amazon.com/images/I/61cyovxtWPL._AC_SY879_.jpg,MIFASOPOWER,$12.89,"Power Strip Extension Cord - 6 Outlets and 4 USB (2 USB C), 5Ft Braided Cord with Ultra Thin Flat Plug, Wall Mount, Overload Protection, Compact for Travel, Cruise Ship, and Dorm Room Essentials",https://www.amazon.com/dp/B0BX9PWVTG?th=1, 4.7 ,"1,641 ratings",2025-09-13 09:56:02,MIFASOPOWER,1K+ bought in past month,In Stock
Apple,"Electronics > Headphones, Earbuds & Accessories > Headphones & Earbuds > Earbud Headphones",USD,15.99,,https://m.media-amazon.com/images/I/61df2M5+OnL._AC_SX466_.jpg,Apple,$49.99,"Apple AirPods (3rd Generation) Wireless Earbuds with MagSafe Charging Case. Spatial Audio, Sweat and Water Resistant, Up to 30 Hours of Battery Life. Bluetooth Headphones for iPhone",https://www.amazon.com/dp/B0D1XD5FC3, 4.6 ,51 ratings,2025-09-13 09:56:17,,50+ bought in past month,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.
Samsung,Electronics > Computers & Accessories > Computers & Tablets > Tablets,USD,157.99,-28%,https://m.media-amazon.com/images/I/61d46oYQgdL._AC_SX466_.jpg,,$219.99,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",https://www.amazon.com/dp/B0CLF3VPMV?th=1, 4.4 ,"16,555 ratings",2025-09-13 10:01:07,Amazon Export Sales LLC,10K+ bought in past month,In Stock
Nsiucion,"Electronics > Headphones, Earbuds & Accessories > Headphones & Earbuds > Earbud Headphones",USD,13.99,,https://m.media-amazon.com/images/I/61gnKabfUeL._AC_SX466_.jpg,Nsiucion,$75.99,"Wireless Sleep Earbuds, Comfortable Invisible Mini Sleeping Headphones for Side Sleepers, Noise Cancelling IPX4 Waterproof Bluetooth 5.3 Earphones for Sleeping Running Workouts (Black)",https://www.amazon.com/dp/B0DHXRKZZB, 3.7 ,110 ratings,2025-09-13 10:02:10,Nsiucion,500+ bought in past month,In Stock
